,Lat,Long,HOUR,OCCURRED_ON_DATE,OFFENSE_DESCRIPTION,Risk_Category
118,42.33954152609665,-71.06940928222296,10,2024-05-04 10:22:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
119,42.34128702104515,-71.05467980204799,0,2024-03-31 00:01:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
120,42.30971815419562,-71.10429497557632,15,2024-02-12 15:30:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
121,42.28482533772862,-71.09137437366408,20,2024-04-16 20:44:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
122,42.32866239451696,-71.08563458516488,0,2023-05-03 00:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
123,42.28482533772862,-71.09137437366408,22,2023-05-04 22:22:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
124,42.34905564195639,-71.1504991731562,0,2024-03-05 00:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
125,42.32445931228052,-71.05961339413238,22,2023-10-22 22:47:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
126,42.32348403408923,-71.1081306982922,1,2023-09-11 01:18:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
127,42.32872544225124,-71.08382273879404,13,2023-08-24 13:45:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
128,42.297554856340426,-71.05970968687002,23,2023-08-16 23:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
129,42.28482533772862,-71.09137437366408,16,2023-09-01 16:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
130,42.297554856340426,-71.05970968687002,2,2023-09-08 02:40:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
131,42.34838716211481,-71.07528672920982,0,2023-09-01 00:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
132,42.297554856340426,-71.05970968687002,12,2024-04-08 12:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
133,42.28472926518308,-71.16373876813121,10,2023-10-16 10:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
134,42.31618959999635,-71.05587990703488,23,2024-01-09 23:29:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
135,42.29148478839863,-71.12275691998825,7,2024-06-07 07:17:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
136,42.33094906860997,-71.04139100477332,10,2024-06-07 10:27:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
137,42.33936721871681,-71.07035518237765,6,2023-05-16 06:30:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
138,42.387537183484696,-71.00573293437233,0,2023-11-28 00:57:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
139,42.30971815419562,-71.10429497557632,0,2023-05-04 00:44:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
140,42.354563586758935,-71.06147463896686,12,2023-04-25 12:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
141,42.33930438732241,-71.05521557874764,12,2024-04-16 12:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
142,42.31635461376235,-71.06593908466134,14,2024-04-16 14:50:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
143,42.31878295874569,-71.09074289154685,0,2024-04-17 00:12:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
144,42.256215542554976,-71.12402029533455,19,2024-04-16 19:39:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
145,42.33073063675621,-71.11285280966922,17,2023-10-22 17:43:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
146,42.35794742293909,-71.05082262136166,13,2023-10-21 13:51:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
147,42.28482533772862,-71.09137437366408,13,2023-09-29 13:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
148,42.34369082329379,-71.09103505340799,7,2023-08-14 07:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
149,42.33506174588196,-71.09316838833671,16,2023-06-02 16:34:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
150,42.28482533772862,-71.09137437366408,9,2023-11-28 09:41:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
151,42.26454322077913,-71.15726406821207,12,2023-06-01 12:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
152,42.34376414338544,-71.0886692005269,14,2023-06-02 14:44:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
153,42.32746155707169,-71.09852587194952,9,2023-06-02 09:30:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
154,42.34616044014695,-71.06318189987842,0,2023-06-03 00:15:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
155,42.3618380883142,-71.05976533206233,12,2023-06-09 12:54:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
156,42.24077466423985,-71.1353689091823,13,2023-06-12 13:34:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
157,42.32422831599735,-71.08140666284945,12,2023-11-27 12:16:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
158,42.297554856340426,-71.05970968687002,10,2023-11-27 10:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
159,42.280611864800576,-71.08350213587174,18,2023-11-28 18:21:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
160,42.364848780473125,-71.05736070647714,13,2023-05-04 13:25:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
161,42.361096942433406,-71.0620612580421,12,2023-05-04 12:03:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
162,42.30971815419562,-71.10429497557632,0,2023-09-22 00:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
163,42.297554856340426,-71.05970968687002,13,2023-05-31 13:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
164,42.321059098072325,-71.07313347452711,14,2023-06-01 14:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
165,42.376631183831805,-71.05593235449719,17,2023-05-31 17:55:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
166,42.297554856340426,-71.05970968687002,8,2023-04-12 08:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
167,42.34189258398863,-71.07408363727468,15,2023-06-01 15:37:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
168,42.297554856340426,-71.05970968687002,6,2023-05-31 06:28:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
169,42.32623962050868,-71.10022109090022,19,2023-06-01 19:54:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
170,42.313518375794175,-71.05356353847792,0,2023-06-02 00:37:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
171,42.28709320338153,-71.14822209118665,21,2023-04-15 21:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
172,42.335384025864855,-71.10678025456242,9,2023-10-13 09:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
173,42.26846651895827,-71.12869658631635,12,2023-10-14 12:14:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
174,42.3633967686585,-71.07022424412435,18,2023-10-14 18:56:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
175,42.268713987474506,-71.09221210792691,20,2023-10-15 20:04:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
176,42.33954152609665,-71.06940928222296,0,2023-11-23 00:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
177,42.28187514270353,-71.08550605435822,9,2023-10-14 09:44:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
178,42.32238324889982,-71.0804547743847,12,2023-10-10 12:15:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
179,42.28709320338153,-71.14822209118665,12,2023-02-09 12:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
180,42.34128702104515,-71.05467980204799,18,2023-10-09 18:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
181,42.31913244361807,-71.08767438772203,8,2023-07-13 08:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
182,42.3756834795145,-71.03624922946622,16,2023-01-01 16:35:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
183,42.269320665397785,-71.17205028334226,14,2023-01-01 14:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
184,42.297554856340426,-71.05970968687002,11,2023-06-25 11:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
185,42.35666040244346,-71.1510433245812,17,2023-10-10 17:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
186,42.32516217365728,-71.05817697532902,2,2023-02-19 02:30:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
187,42.27267949794636,-71.10926010643396,6,2023-02-18 06:56:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
188,42.32866239451696,-71.08563458516488,0,2023-05-03 00:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
189,42.32772339165516,-71.09252792457865,17,2023-02-19 17:49:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
190,42.28709320338153,-71.14822209118665,12,2023-02-18 12:45:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
191,42.354518851458806,-71.07588131076638,0,2023-02-20 00:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
192,42.35037824401699,-71.07626148756364,11,2023-09-30 11:50:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
193,42.32866239451696,-71.08563458516488,14,2023-08-23 14:40:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
194,42.35118101409143,-71.08824173313367,1,2023-05-07 01:06:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
195,42.32257290960806,-71.07282859015612,18,2023-10-10 18:05:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
196,42.28107063377519,-71.06925147428039,11,2023-10-11 11:45:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
197,42.29384223436072,-71.0760948993412,8,2023-10-11 08:07:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
198,42.2910070360434,-71.12027902768168,11,2023-01-01 11:45:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
199,42.31909638891558,-71.10526968771515,17,2023-02-16 17:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
200,42.3615252891818,-71.0613389024985,16,2023-11-09 16:30:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
201,42.36950646373336,-71.03747259434812,12,2023-01-01 12:58:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
202,42.319407039447896,-71.07567899093016,20,2023-06-01 20:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
203,42.354865032290455,-71.13259384472697,12,2023-07-26 12:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
204,42.32866239451696,-71.08563458516488,13,2023-06-03 13:57:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
205,42.30516847137687,-71.10877756404416,7,2023-06-04 07:50:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
206,42.27804637847414,-71.09823979690948,17,2023-09-29 17:45:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
207,42.30969971730137,-71.08582475768348,18,2024-06-09 18:20:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
208,42.271661031027065,-71.09953455161765,17,2024-03-29 17:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
209,42.33954152609665,-71.06940928222296,0,2023-12-07 00:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
210,42.364404980923005,-71.05586222640123,2,2023-11-14 02:15:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
211,42.28709320338153,-71.14822209118665,20,2024-05-22 20:00:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
212,42.313518375794175,-71.05356353847792,16,2024-05-23 16:45:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
213,42.25520062513042,-71.14449171452954,15,2023-06-05 15:45:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
214,42.28709320338153,-71.14822209118665,21,2023-05-06 21:32:00+00,HARASSMENT/ CRIMINAL HARASSMENT,High
